;meta[language=en]
; id      |key(hex)|key(str)| text
;
; rename this file to mod<YOUR MODNAME>.speech.csv and
; add all strings for custom voicelines like the example line below.
;
; make sure the XXXX is the string id-space of the project and nnn is unique
; for every line.
;
;211XXXXnnn|||example voiceline text
;
2111408020|||Well, beautiful village.
2111408021|||Wonder who planted those flowers
2111408022|||They usually grow in mossy tree shades only, will diminish here soon.
2111408023|||We- we're there.
2111408025|||Alene! There you are. Haven't I warned you to not go into the forest alone? You know of the dangers lurking there!
2111408026|||No need for explanation! You did something bad and we both know this. Now come in and get your lesson
2111408027|||I assume you, good master witcher, have brought my daughter home. We're thankful for that.
2111408028|||Wait for me in the tavern, I've got something to talk to you about.
2111408010|||I-
2111408011|||Witcher! Leave! This is not your matter
2111408012|||Leave her in peace.
2111408013|||You stress my nerves!
2111408014|||Out with you! Leave!
2111408015|||Shouldn't mingle in a family's personal affairs..
2111408205|||You will leave her alone.
2111408206|||I- I will leave her alone; 
;meta[language=en]
; id      |key(hex)|key(str)| text
2111408000|00000000|dlc_name_trial6|The Village
2111408001|00000000|option_dlc_name_trial6|MOD: The Village
2111408002|00000000|content_name_dlc_trial6|MOD: The Village
; 
;meta[language=en]
; id      |key(hex)|key(str)| text
;   1111631|00000000||Calm down. Just here to talk.
;   1172302|00000000||We don't have to fight.
;    569544|00000000||C'mon, cut the shit.
;   1097158|00000000||What the fuck was that?
;   1200888|00000000||Dammit. Back where I started.
; 
;meta[language=en]
; id      |key(hex)|key(str)| text
2111408250|00000000||Let's go.
2111408251|00000000||Alright
; 
;meta[language=en]
; id      |key(hex)|key(str)| text
2111408200|00000000||[Intervene]
2111408201|00000000||[Don't get involved]
2111408202|00000000||[axii]
2111408203|00000000||[win fight]
2111408204|00000000||[loose fight]
;2111408020|00000000||Well, beautiful village.
;2111408021|00000000||Wonder who planted those flowers
;2111408022|00000000||They usually grow in mossy tree shades only, will diminish here soon.
;2111408023|00000000||We- we're there.
;    562984|00000000||Let's get this over with.
;2111408025|00000000||Alene! There you are. Haven't I warned you to not go into the forest alone? You know of the dangers lurking there!
;2111408010|00000000||I-
;2111408026|00000000||No need for explanation! You did something bad and we both know this. Now come in and get your lesson.
;2111408027|00000000||I assume you, good master witcher, have brought my daughter home. We're thankful for that.
;2111408028|00000000||Wait for me in the tavern, I've got something to talk to you about.
;2111408011|00000000||Witcher! Leave! This is not your matter
;2111408012|00000000||Leave her in peace.
;2111408013|00000000||You stress my nerves!
;2111408014|00000000||Out with you! Leave!
;2111408014|00000000||Out with you! Leave!
2111408205|00000000||You will leave her alone.
2111408206|00000000||I- I will leave her alone
;2111408015|00000000||Shouldn't mingle in a family's personal affairs..
; 
